frequency, MAG[S21]*MAG[21], MAG[S31]*MAG[31], MAG[S41]*MAG[41]
84.5,0.959281166041,0.0000719048033089,0.0000021670195264
85,0.966678307204,0.00008203106041,0.0000024142012129
85.5,0.970098924096,0.0000918946552689,0.0000026412100324
86,0.970786531225,0.00010135254276,0.0000028438437769
86.5,0.969781800625,0.000110334016,0.0000030206092401
87,0.967909662976,0.00011883834169,0.0000031720322404
87.5,0.965783804049,0.00012691149025,0.0000033001808896
88,0.963831099001,0.000134652816,0.0000034082698225
88.5,0.9623217604,0.00014219370025,0.0000035003416464
89,0.961405743169,0.00014970501316,0.0000035808749824
89.5,0.961127297641,0.000157377025,0.0000036547115929
90,0.961460652681,0.00016543876129,0.0000037266758116
90.5,0.962323722361,0.00017412649849,0.00000380172004
91,0.963593530384,0.00018370549444,0.00000388444681
91.5,0.965127443281,0.00019443234721,0.0000039790275625
92,0.966772696516,0.00020657450529,0.0000040889288521
92.5,0.968376051721,0.00022037105601,0.00000421686225
93,0.969797557089,0.00023603405956,0.0000043643805921
93.5,0.970922505316,0.00025372985521,0.00000453178944
94,0.971657718529,0.00027354844449,0.0000047178880849
94.5,0.971949515625,0.00029549953801,0.00000491996761
95,0.971772066225,0.000319479876,0.0000051336230625
95.5,0.971139295296,0.00034527585856,0.0000053529763225
96,0.970094984356,0.00037252088064,0.0000055704968361
96.5,0.968702787529,0.00040071632041,0.0000057774852496
97,0.967042124689,0.00042920237584,0.0000059640477796
97.5,0.965196213136,0.00045716854225,0.00000611968644
98,0.963232325136,0.00048366565776,0.0000062335608241
98.5,0.961188081604,0.00050763694864,0.0000062952315409
99,0.9590480761,0.00052795631529,0.0000062952817216
99.5,0.956722646884,0.00054353327044,0.0000062263224676
100,0.954030795025,0.00055343974009,0.0000060844115556
100.5,0.950656200256,0.00055711105024,0.00000587044441
101,0.946137508416,0.00055466373169,0.0000055925155225
101.5,0.939837180304,0.00054730263025,0.0000052682184676
102,0.930931663104,0.000537868864,0.0000049274676441
102.5,0.918428972409,0.00053150535936,0.0000046150639929
103,0.9012084624,0.00053628833241,0.0000043922099776
103.5,0.878124548889,0.00056383452304,0.0000043360982289
104,0.848159953936,0.00062942781456,0.0000045358350625
104.5,0.810631923201,0.00075162608964,0.0000050842132324
105,0.765394017424,0.000950920569,0.0000060649897984
105.5,0.713014737604,0.00124765781284,0.0000075379349809
106,0.654803021601,0.00165951946384,0.0000095256797769
106.5,0.592707515625,0.00219929109156,0.000012006225
107,0.529033658409,0.00287364612096,0.0000149149667601
107.5,0.466118887441,0.003683397481,0.0000181557801216
108,0.406002175489,0.00462500645476,0.00002161692036
108.5,0.350228423601,0.00569288358144,0.0000251877511876
109,0.299763915049,0.00688174770969,0.0000287711013769
109.5,0.255038130169,0.00818845819801,0.0000322903516516
110,0.2160483361,0.00961325342784,0.00003569106564
110.5,0.182495568025,0.011160443449,0.0000389390976144
111,0.153897720804,0.012838249636,0.000042016324
111.5,0.129694337161,0.014659155625,0.0000449166699601
112,0.109307600689,0.016639710025,0.0000476418833361
112.5,0.092187533376,0.018800248996,0.0000501980752036
113,0.077834304144,0.021164721361,0.0000525936796225
113.5,0.065806101729,0.023761297609,0.0000548375794576
114,0.055723379364,0.026623143556,0.00005693758849
114.5,0.04726276,0.029787653281,0.0000589004061156
115,0.040153346689,0.033297125625,0.0000607303814209
115.5,0.034168043716,0.037201151376,0.0000624299095876
116,0.029119033449,0.041555230201,0.0000639988800049
116.5,0.024849739044,0.046423442521,0.0000654343477225
117,0.021231695521,0.051878261824,0.0000667310905881
117.5,0.018157832001,0.058002942244,0.000067881121
118,0.015539866281,0.0648924676,0.0000688738989409
118.5,0.013304699716,0.072653428849,0.0000696959495281
119,0.011391933289,0.081409214329,0.0000703310340496
119.5,0.00975128600196,0.091297039716,0.0000707602298481
120,0.00834084011524,0.102472972996,0.00007096209121
120.5,0.00712585845904,0.115110239841,0.0000709125673216
121,0.006077293849,0.129400636729,0.0000705855383104
121.5,0.005170904281,0.145554458256,0.0000699536522689
122,0.00438646588416,0.163796659524,0.0000689889715216
122.5,0.00370703193316,0.184364608129,0.0000676642791889
123,0.003118440649,0.207499381441,0.0000659553512641
123.5,0.00260883949824,0.233438754025,0.0000638434558441
124,0.00216835510336,0.262394940025,0.0000613179831364
124.5,0.00178868939041,0.294540656656,0.0000583815190084
125,0.00146291715361,0.329980164721,0.0000550531352484
125.5,0.00118521144361,0.368722200625,0.00005137448976
126,0.00095059372489,0.410640019344,0.0000474131399184
126.5,0.00075476023441,0.455446817424,0.0000432670581729
127,0.00059385790864,0.5026668201,0.0000390647500324
127.5,0.00046430768484,0.551624085796,0.0000349630959616
128,0.00036268155364,0.601454536225,0.0000311413105936
128.5,0.00028555592256,0.651142480356,0.0000277892394025
129,0.00022949523081,0.699586706569,0.0000250924853776
129.5,0.00019103662656,0.745678879729,0.0000232156294276
130,0.00016675073424,0.788407253929,0.0000222865191396
130.5,0.00015336097921,0.826939247044,0.00002238330721
131,0.00014783884921,0.860686663824,0.0000235286113969
131.5,0.00014752045764,0.889347074704,0.0000256897936201
132,0.00015019482916,0.912888524304,0.0000287860148676
132.5,0.00015411236164,0.931529964964,0.0000326994123556
133,0.0001580049,0.9456784516,0.0000372887316025
133.5,0.00016100818321,0.955869914596,0.0000424018461889
134,0.00016262625625,0.962710267684,0.0000478872304036
134.5,0.00016262625625,0.966817926361,0.0000536023122496
135,0.00016098280641,0.9687874329,0.0000594189680569
135.5,0.00015781138129,0.969163460521,0.0000652261371129
136,0.00015329658969,0.968423287225,0.0000709307577616
136.5,0.00014767353441,0.966973289104,0.0000764573611201
137,0.00014118905329,0.965147091561,0.0000817472756164
